True_Label,Predicted_Label,Class_Probabilities
3,3,"[np.float32(3.3800177e-05), np.float32(6.880561e-05), np.float32(0.0063663507), np.float32(0.9934853), np.float32(4.5856148e-05)]"
1,1,"[np.float32(1.3124726e-07), np.float32(0.99999917), np.float32(6.862969e-07), np.float32(2.9940164e-08), np.float32(3.6259046e-08)]"
2,2,"[np.float32(2.7830241e-05), np.float32(0.0008558823), np.float32(0.99906605), np.float32(1.9531319e-05), np.float32(3.0715386e-05)]"
1,1,"[np.float32(1.4438501e-07), np.float32(0.9999976), np.float32(1.2023521e-06), np.float32(1.12868626e-07), np.float32(9.591602e-07)]"
2,2,"[np.float32(5.300382e-06), np.float32(4.7051546e-07), np.float32(0.99996376), np.float32(1.8869818e-05), np.float32(1.1687731e-05)]"
4,4,"[np.float32(8.839791e-06), np.float32(2.07745e-06), np.float32(6.305497e-05), np.float32(3.452864e-05), np.float32(0.9998915)]"
3,3,"[np.float32(5.960967e-06), np.float32(1.4920928e-05), np.float32(0.0020419694), np.float32(0.9979322), np.float32(5.008071e-06)]"
1,1,"[np.float32(1.6875794e-06), np.float32(0.9999943), np.float32(3.5984017e-06), np.float32(5.4841184e-08), np.float32(4.407443e-07)]"
2,2,"[np.float32(6.0034552e-05), np.float32(0.31442502), np.float32(0.68527246), np.float32(0.00022266971), np.float32(1.975522e-05)]"
3,3,"[np.float32(2.8216673e-05), np.float32(0.00024305847), np.float32(0.0003042624), np.float32(0.999303), np.float32(0.000121510755)]"
2,2,"[np.float32(0.008510712), np.float32(0.11154152), np.float32(0.644), np.float32(0.21830605), np.float32(0.017641718)]"
2,2,"[np.float32(1.8905534e-05), np.float32(9.552813e-06), np.float32(0.9997577), np.float32(0.00014862316), np.float32(6.5156055e-05)]"
1,1,"[np.float32(9.667154e-06), np.float32(0.99674004), np.float32(0.0031706083), np.float32(3.5769037e-05), np.float32(4.3948894e-05)]"
2,2,"[np.float32(0.00014411304), np.float32(2.4108846e-05), np.float32(0.99907434), np.float32(0.0005186197), np.float32(0.00023878276)]"
2,1,"[np.float32(0.001844957), np.float32(0.5764763), np.float32(0.40200046), np.float32(0.019004624), np.float32(0.0006736923)]"
2,2,"[np.float32(4.497983e-06), np.float32(4.0311912e-05), np.float32(0.99945134), np.float32(0.0004935884), np.float32(1.01977175e-05)]"
2,2,"[np.float32(9.158303e-06), np.float32(2.8478573e-05), np.float32(0.99992895), np.float32(2.1761394e-05), np.float32(1.1548828e-05)]"
2,2,"[np.float32(0.004626115), np.float32(0.02416087), np.float32(0.8228645), np.float32(0.12405416), np.float32(0.02429434)]"
2,2,"[np.float32(4.668582e-05), np.float32(2.0990376e-05), np.float32(0.99700195), np.float32(0.002874231), np.float32(5.6192654e-05)]"
