FOLD 1 
,actual,predicted
0,63.145,59.178204
1,49.199,51.262264
2,47.963,47.279297
3,50.72,50.045532
4,47.991,49.245483
5,68.5,68.021255
6,64.728,64.34017
7,64.15,65.638626
8,59.879,61.113808
9,52.035,57.476856
10,50.72,50.178288
11,53.068,54.7455
12,50.1,50.810833
13,47.991,48.92398
14,49.199,51.251144
15,47.991,50.70105
16,64.02,64.34575
17,53.068,54.36313
18,68.5,68.5224
19,68.51,64.4738
20,51.967,58.688324
21,66.914,65.78291
22,68.51,63.66821
23,54.665,48.21685
24,64.15,64.927414
25,66.914,66.71915
26,61.596,57.5407
27,52.035,55.939644
28,50.1,56.071033
29,47.991,48.722813
30,54.665,52.790924
31,49.12,50.09165
32,54.665,55.191875
33,63.145,58.5193
34,46.553,53.902523
35,61.596,59.042366
36,66.914,66.582855
37,55.698,55.902245
38,68.5,65.34675
39,63.145,57.114143
40,66.8,64.35982
41,66.18,66.30342
42,64.15,64.78671
43,61.596,59.830143
44,68.51,64.89925
45,66.718,66.2701
46,50.363,49.78689
47,68.5,68.90969
48,47.963,47.925632
49,49.117,49.286148
50,50.02,50.03325
51,47.963,47.823914
52,66.718,66.438416
53,68.51,65.00448
54,50.1,50.477028
55,67.515,65.37039
56,51.967,52.327965
57,55.698,59.46836
58,59.879,62.308437
59,61.596,51.611923
60,50.02,50.533955
61,67.32,65.45158
62,49.12,47.575283
63,54.665,54.78847
64,49.117,48.883347

,r2,ccc,pearson,mape,smape,mse
0,0.855816,0.91924024,0.9266439,3.544595,1.7749833,8.769228

FOLD 2 
,actual,predicted
0,63.145,56.672867
1,49.199,51.230614
2,47.963,47.344437
3,50.72,49.713676
4,47.991,49.161148
5,68.5,67.83135
6,64.728,64.186714
7,64.15,63.227917
8,59.879,59.61638
9,52.035,57.7975
10,50.72,49.88723
11,53.068,55.417824
12,50.1,49.387688
13,47.991,48.691284
14,49.199,50.846664
15,47.991,50.559143
16,64.02,63.0847
17,53.068,55.539974
18,68.5,68.02732
19,68.51,63.247818
20,51.967,58.91111
21,66.914,65.46811
22,68.51,61.735664
23,54.665,47.40723
24,64.15,64.02229
25,66.914,64.20322
26,61.596,57.044384
27,52.035,55.89439
28,50.1,56.272926
29,47.991,47.999332
30,54.665,51.569176
31,49.12,49.49292
