,ENTITY_F1,OBSERVATION_F1
0,326.32373,120.75637
1,293.51654,167.21194
2,185.12688,44.12558
3,175.25728,50.19793
4,280.1318,45.946457
5,366.1058,39.832626
6,359.8872,36.348938
7,156.52362,60.50103
8,2771.5618,41.418346
9,50.00561,203.99986
10,125.130104,42.673584
11,352.18018,46.52862
12,253.79102,39.728935
13,295.22415,98.171524
14,354.87177,103.829285
15,127.30042,61.93235
16,165.00537,149.08008
17,412.43326,140.6761
18,2639.4944,109.42155
19,55.408604,71.63419
20,296.94708,56.721355
21,261.19324,65.10145
22,294.0197,128.87991
23,225.51071,168.77737
24,93.89037,85.95013
25,213.83125,58.027866
26,211.32364,55.081917
27,193.75346,36.788826
28,230.95897,58.64288
29,51.80107,86.74055
30,274.65375,73.263275
31,125.68661,102.2858
32,343.13797,35.25151
33,190.56596,38.913906
34,119.52743,54.300068
35,780.8226,81.172035
36,448.16968,81.66496
37,411.59964,45.815983
38,307.98532,123.35498
39,43.169308,65.900986
40,606.42694,34.13662
41,241.91183,46.660454
42,259.39725,99.7682
43,179.397,46.171688
44,290.2193,54.97119
45,203.72806,123.24315
46,242.05042,103.62267
47,214.24162,107.66036
48,562.9616,89.89899
49,51.407475,53.629604
50,165.43031,169.60017
51,429.91983,72.79637
52,358.42737,97.34441
53,173.07668,54.986874
54,272.12503,47.764492
55,72.171234,33.53166
56,107.40841,127.52623
57,249.20581,39.833996
58,789.23724,51.464214
59,74.028145,114.225006
60,299.17993,50.415546
61,93.24046,111.69273
62,309.94016,129.14871
63,275.40695,45.67801
64,131.80003,43.652927
65,2764.159,48.08606
66,224.51831,118.28583
67,295.7283,124.08971
68,909.7994,48.511467
69,60.581005,51.128727
70,427.89554,28.462496
71,352.71643,85.148834
72,130.9922,47.49993
73,387.76776,121.97053
74,189.0319,59.201824
75,417.10706,47.67951
76,369.35803,54.876976
77,72.97607,169.78308
78,352.24875,38.606342
79,59.748604,70.97783
80,159.91153,49.57987
81,166.20103,86.91129
82,192.26338,72.064064
83,121.53869,49.571476
84,228.91826,55.9358
85,380.78232,40.559025
86,198.65903,42.207443
87,163.25232,72.744225
88,853.73254,49.70439
89,82.266624,49.252186
90,319.01877,52.807804
91,200.3405,30.66388
92,278.60538,134.16518
93,52.325466,121.816
94,150.08176,162.20464
95,92.41178,74.86641
96,116.77151,130.92801
97,341.1328,107.56046
98,499.64487,57.385674
99,74.95695,77.04173
