FOLD 1 
,actual,predicted,repeat,fold
0,49.117,61.92154,0,0
1,56.844,54.624454,0,0
2,50.1,35.107594,0,0
3,50.1,55.381264,0,0
4,46.553,42.81363,0,0
5,68.5,36.897106,0,0
6,49.199,61.994347,0,0
7,47.991,63.472923,0,0
8,46.553,54.699535,0,0
9,54.665,61.21273,0,0
10,49.199,60.29209,0,0
11,66.718,62.930103,0,0
12,66.8,59.89055,0,0
13,52.035,63.69122,0,0
14,55.698,56.806,0,0
15,64.728,50.01555,0,0
16,61.596,58.90521,0,0
17,66.718,61.69264,0,0
18,68.51,54.731274,0,0
19,50.02,60.83868,0,0
20,63.145,41.989258,0,0
21,50.72,58.546078,0,0
22,50.02,64.874626,0,0
23,47.991,56.185505,0,0
24,51.967,39.879395,0,0
25,67.32,60.84982,0,0
26,67.515,61.592976,0,0
27,49.117,59.856728,0,0
28,51.967,39.744324,0,0
29,61.596,58.55458,0,0
30,47.963,40.731846,0,0
31,55.698,55.376305,0,0
32,63.145,43.034435,0,0
33,64.02,64.55689,0,0
34,66.914,70.55688,0,0
35,66.18,52.21716,0,0
36,68.51,55.534878,0,0
37,59.879,28.068247,0,0
38,50.02,62.969704,0,0
39,66.718,54.20111,0,0
40,61.596,66.86376,0,0
41,54.665,52.42619,0,0
42,63.145,42.034027,0,0
43,66.18,61.40585,0,0
44,66.914,58.74363,0,0
45,64.15,60.56072,0,0
46,49.12,67.80613,0,0
47,63.145,45.78209,0,0
48,54.665,57.486557,0,0
49,50.72,59.88185,0,0
50,53.068,55.74376,0,0
51,51.967,39.58053,0,0
52,64.15,58.333557,0,0
53,68.51,53.55293,0,0
54,67.32,61.134384,0,0
55,47.963,40.552498,0,0
56,68.5,69.01792,0,0
57,46.553,46.816128,0,0
58,53.068,46.591465,0,0
59,64.15,60.60651,0,0
60,68.5,70.858284,0,0
61,47.991,60.62276,0,0
62,68.5,49.390232,0,0
63,47.963,41.79021,0,0
64,66.718,66.82942,0,0
65,68.51,51.672108,0,0
66,50.72,60.15111,0,0
67,66.718,59.850525,0,0
68,61.596,53.654102,0,0
69,49.157,54.34931,0,0
70,54.665,58.493492,0,0
71,50.363,54.800068,0,0
72,54.665,60.860645,0,0
73,47.991,61.872154,0,0
74,66.914,64.73558,0,0
75,59.879,69.432785,0,0
76,64.02,56.20471,0,0
77,52.035,53.691555,0,0
78,50.1,35.069904,0,0
79,50.363,50.324383,0,0
80,66.54,58.102592,0,0
81,64.15,61.384315,0,0
82,61.596,61.121243,0,0
83,49.12,61.650677,0,0

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,-0.99289715,0.18265736,0.19146605,15.546698,8.116988,120.75637,0,0

FOLD 2 
,actual,predicted,repeat,fold
0,49.117,69.24353,0,1
1,56.844,58.295586,0,1
2,50.1,30.890917,0,1
3,50.1,55.17372,0,1
4,46.553,35.894836,0,1
5,68.5,47.603832,0,1
6,49.199,68.35591,0,1
7,47.991,69.44677,0,1
8,46.553,52.1278,0,1
9,54.665,64.81193,0,1
10,49.199,65.54833,0,1
11,66.718,60.93345,0,1
12,66.8,58.683746,0,1
13,52.035,69.79228,0,1
14,55.698,57.0602,0,1
15,64.728,46.927307,0,1
16,61.596,61.669098,0,1
17,66.718,62.04924,0,1
18,68.51,65.58076,0,1
19,50.02,63.812714,0,1
20,63.145,43.082973,0,1
21,50.72,63.31774,0,1
22,50.02,66.45804,0,1
23,47.991,63.422096,0,1
24,51.967,37.40747,0,1
25,67.32,54.111755,0,1
26,67.515,60.809334,0,1
27,49.117,64.967445,0,1
28,51.967,40.538586,0,1
29,61.596,62.43479,0,1
30,47.963,39.096714,0,1
31,55.698,56.078453,0,1
32,63.145,46.41681,0,1
33,64.02,56.665577,0,1
34,66.914,70.68381,0,1
35,66.18,50.634262,0,1
36,68.51,55.03277,0,1
37,59.879,23.531223,0,1
38,50.02,62.518517,0,1
39,66.718,50.83123,0,1
40,61.596,71.04714,0,1
41,54.665,58.34641,0,1
42,63.145,46.184135,0,1
43,66.18,58.760353,0,1
44,66.914,52.760895,0,1
45,64.15,59.68415,0,1
46,49.12,74.72166,0,1
47,63.145,52.130062,0,1
48,54.665,61.331062,0,1
49,50.72,64.15503,0,1
50,53.068,52.725998,0,1
51,51.967,31.854177,0,1
52,64.15,58.43443,0,1
53,68.51,53.060127,0,1
54,67.32,56.90654,0,1
55,47.963,41.97735,0,1
56,68.5,57.65172,0,1
57,46.553,42.96837,0,1
58,53.068,64.449486,0,1
59,64.15,61.974205,0,1
60,68.5,73.80592,0,1
61,47.991,64.83637,0,1
62,68.5,43.767685,0,1
63,47.963,38.89207,0,1
64,66.718,63.378735,0,1
65,68.51,52.074886,0,1
66,50.72,64.69474,0,1
67,66.718,59.899124,0,1
68,61.596,63.585907,0,1
69,49.157,48.548355,0,1
70,54.665,59.928173,0,1
71,50.363,42.66657,0,1
72,54.665,62.334328,0,1
73,47.991,65.9707,0,1
74,66.914,67.17143,0,1
75,59.879,74.02719,0,1
76,64.02,53.447044,0,1
77,52.035,54.80328,0,1
78,50.1,28.701006,0,1
79,50.363,42.525085,0,1
80,66.54,55.37983,0,1
81,64.15,63.65692,0,1
82,61.596,61.15711,0,1
83,49.12,67.24663,0,1

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,-1.7595744,0.0904434,0.0972236,19.230516,9.844991,167.21194,0,1

FOLD 3 
,actual,predicted,repeat,fold
0,49.117,49.88827,0,2
1,56.844,58.16486,0,2
2,50.1,43.73836,0,2
3,50.1,51.211502,0,2
4,46.553,52.17882,0,2
5,68.5,58.683296,0,2
6,49.199,48.253185,0,2
7,47.991,52.815067,0,2
8,46.553,50.465412,0,2
9,54.665,57.592472,0,2
10,49.199,46.98342,0,2
11,66.718,67.80056,0,2
12,66.8,66.6371,0,2
13,52.035,59.007046,0,2
14,55.698,56.75877,0,2
15,64.728,61.252766,0,2
16,61.596,58.3561,0,2
17,66.718,64.05079,0,2
18,68.51,59.638542,0,2
19,50.02,56.96683,0,2
20,63.145,50.97786,0,2
21,50.72,62.15459,0,2
22,50.02,54.25788,0,2
23,47.991,57.56212,0,2
24,51.967,51.951984,0,2
25,67.32,66.45733,0,2
26,67.515,66.153046,0,2
27,49.117,49.82642,0,2
28,51.967,52.248264,0,2
29,61.596,55.893974,0,2
30,47.963,47.318153,0,2
31,55.698,56.970547,0,2
32,63.145,61.703827,0,2
33,64.02,67.835945,0,2
34,66.914,70.31558,0,2
35,66.18,53.14933,0,2
36,68.51,64.16269,0,2
37,59.879,34.67746,0,2
38,50.02,59.72517,0,2
39,66.718,61.970898,0,2
40,61.596,61.149323,0,2
41,54.665,57.0561,0,2
42,63.145,48.78565,0,2
43,66.18,67.77739,0,2
44,66.914,65.177925,0,2
45,64.15,63.6031,0,2
46,49.12,56.59566,0,2
47,63.145,44.258133,0,2
48,54.665,58.11736,0,2
49,50.72,56.61627,0,2
50,53.068,55.04824,0,2
51,51.967,48.866856,0,2
52,64.15,62.654118,0,2
53,68.51,60.399723,0,2
54,67.32,68.0353,0,2
55,47.963,45.160446,0,2
56,68.5,80.036766,0,2
57,46.553,46.231953,0,2
58,53.068,58.607338,0,2
59,64.15,64.24983,0,2
60,68.5,88.19799,0,2
61,47.991,55.81094,0,2
62,68.5,59.7011,0,2
63,47.963,48.662724,0,2
64,66.718,69.60046,0,2
65,68.51,59.030697,0,2
66,50.72,57.72789,0,2
67,66.718,66.24373,0,2
68,61.596,54.17017,0,2
69,49.157,53.14858,0,2
70,54.665,57.587452,0,2
71,50.363,55.569065,0,2
72,54.665,58.28072,0,2
73,47.991,51.61988,0,2
74,66.914,67.373405,0,2
75,59.879,66.586555,0,2
76,64.02,64.531075,0,2
77,52.035,57.124073,0,2
78,50.1,49.86719,0,2
79,50.363,57.91007,0,2
80,66.54,63.95579,0,2
81,64.15,64.046776,0,2
82,61.596,59.562817,0,2
83,49.12,47.97091,0,2

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.27177554,0.64976835,0.6502871,8.045675,4.074437,44.12558,0,2

FOLD 4 
,actual,predicted,repeat,fold
0,49.117,50.14354,0,3
