,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,-0.99289715,0.18265736,0.19146605,15.546698,8.116988,120.75637,0,0
1,-1.7595744,0.0904434,0.0972236,19.230516,9.844991,167.21194,0,1
2,0.27177554,0.64976835,0.6502871,8.045675,4.074437,44.12558,0,2
3,0.17156082,0.56255555,0.56514496,9.554286,4.832507,50.19793,0,3
4,0.24172479,0.60998917,0.612922,9.574229,4.774401,45.946457,0,4
5,0.34262407,0.650509,0.68004227,7.9389052,4.1577764,39.832626,0,5
6,0.40011698,0.662668,0.6687219,8.228674,4.1196833,36.348938,0,6
7,0.0015240908,0.515934,0.5545085,9.717296,5.1619997,60.50103,0,7
8,0.31645423,0.62861615,0.631044,8.554526,4.3258877,41.418346,0,8
9,-2.3667023,0.1414472,0.16248016,21.125572,10.809694,203.99986,0,9
10,0.29573846,0.644658,0.65767527,8.117417,4.246383,42.673584,1,0
11,0.23211706,0.6159859,0.6232704,8.442658,4.332282,46.52862,1,1
12,0.34433538,0.67831933,0.68902063,7.749931,4.021705,39.728935,1,2
13,-0.6201693,0.34735093,0.35896963,13.697286,7.1491017,98.171524,1,3
14,-0.71354187,0.3195036,0.32684538,14.749074,7.499153,103.829285,1,4
15,-0.022097707,0.55815184,0.5642296,9.872898,5.0769167,61.93235,1,5
16,-1.4603362,0.26612258,0.29635808,17.855593,9.405365,149.08008,1,6
17,-1.3216417,0.17797385,0.1909814,17.37128,9.033845,140.6761,1,7
18,-0.80583346,0.2801727,0.29064018,14.805567,7.696577,109.42155,1,8
19,-0.18221152,0.5317276,0.55042493,11.296049,5.905946,71.63419,1,9
20,0.06390178,0.551984,0.564262,9.090177,4.7870884,56.721355,2,0
21,-0.07439864,0.50040406,0.5059301,11.242936,5.770008,65.10145,2,1
22,-1.1269636,0.28993094,0.30741927,16.126577,8.245624,128.87991,2,2
23,-1.7854095,0.19827785,0.22198541,19.022217,9.891181,168.77737,2,3
24,-0.41847396,0.38118184,0.3843231,13.249472,6.682899,85.95013,2,4
25,0.0423398,0.532573,0.53288007,9.974222,5.0216665,58.027866,2,5
26,0.09095818,0.57672393,0.5781323,9.885817,5.0271363,55.081917,2,6
27,0.39285737,0.6874288,0.68904656,7.7551546,3.8791888,36.788826,2,7
28,0.032189965,0.5196123,0.52267957,10.1163435,5.1862726,58.64288,2,8
29,-0.43151855,0.4361752,0.45222494,12.667501,6.5995297,86.74055,2,9
30,-0.20909703,0.50099796,0.51249707,11.328028,5.8061047,73.263275,3,0
31,-0.68806887,0.36415708,0.38521954,14.230728,7.4901605,102.2858,3,1
32,0.41822833,0.69077986,0.6963446,6.91424,3.5932481,35.25151,3,2
33,0.35778618,0.67743605,0.6778535,7.7125945,3.8584993,38.913906,3,3
34,0.10386139,0.5410002,0.5559942,8.917051,4.6847615,54.300068,3,4
35,-0.3396188,0.38829437,0.41269106,11.766742,6.2467685,81.172035,3,5
36,-0.34775388,0.40721875,0.4172332,12.794206,6.628827,81.66496,3,6
37,0.24387807,0.62562925,0.6330663,8.397213,4.353816,45.815983,3,7
38,-1.0357833,0.37957165,0.41436884,15.011212,7.8425384,123.35498,3,8
39,-0.08759391,0.49338633,0.49750996,11.479438,5.8596654,65.900986,3,9
40,0.43662786,0.7171101,0.7171849,7.8240523,3.933868,34.13662,4,0
41,0.22994137,0.5898096,0.6020744,8.271707,4.296783,46.660454,4,1
42,-0.6465199,0.31708354,0.32709748,14.472619,7.4373455,99.7682,4,2
43,0.23800766,0.59183097,0.59877735,8.68652,4.466163,46.171688,4,3
44,0.09278548,0.54449725,0.5448547,9.429712,4.8349814,54.97119,4,4
45,-1.0339377,0.26799798,0.2813862,16.022755,8.235443,123.24315,4,5
46,-0.710132,0.39343086,0.41482678,14.125811,7.3152,103.62267,4,6
47,-0.77676785,0.3186112,0.33562133,15.137048,7.8583546,107.66036,4,7
48,-0.48364377,0.36337286,0.37428215,13.597504,7.036311,89.89899,4,8
49,0.11492634,0.56116724,0.5612004,9.312494,4.7790265,53.629604,4,9
50,-1.7989886,0.1673431,0.18528326,19.49953,10.053136,169.60017,5,0
51,-0.20139158,0.4074466,0.42157227,11.453885,5.991952,72.79637,5,1
52,-0.606519,0.31205872,0.31552106,14.317228,7.229583,97.34441,5,2
53,0.092526674,0.5588409,0.57296777,9.248403,4.8464537,54.986874,5,3
54,0.21172094,0.57288307,0.5923387,8.6902275,4.52635,47.764492,5,4
55,0.44661188,0.7024029,0.7049115,7.7172823,3.8538535,33.53166,5,5
56,-1.1046231,0.30309343,0.32296124,15.772139,8.07139,127.52623,5,6
57,0.34260148,0.7009558,0.7044376,7.8105726,3.9821095,39.833996,5,7
58,0.15066272,0.5659987,0.5664602,10.129868,5.0463386,51.464214,5,8
59,-0.88510704,0.17099288,0.17349413,15.69742,7.9442544,114.225006,5,9
60,0.1679694,0.56545705,0.56872886,9.545362,4.865708,50.415546,6,0
61,-0.84331584,0.29233408,0.31171986,14.848779,7.827388,111.69273,6,1
62,-1.1313996,0.26377586,0.28495046,16.719618,8.734369,129.14871,6,2
63,0.24615508,0.637185,0.6376362,8.626338,4.3794947,45.67801,6,3
64,0.27957594,0.60255903,0.6065037,8.798218,4.4671845,43.652927,6,4
65,0.20641392,0.59361744,0.5983212,8.578795,4.4093003,48.08606,6,5
66,-0.9521247,0.3535334,0.3757494,15.200244,7.743098,118.28583,6,6
67,-1.0479088,0.2689674,0.28559926,15.668373,8.209658,124.08971,6,7
68,0.19939327,0.602333,0.6056887,8.606024,4.503496,48.511467,6,8
69,0.15619946,0.584394,0.59465903,8.459624,4.4489784,51.128727,6,9
70,0.5302705,0.7358139,0.745135,7.075869,3.4924877,28.462496,7,0
71,-0.40524983,0.42369986,0.43119892,12.891996,6.510308,85.148834,7,1
72,0.21608704,0.614861,0.61495876,8.627144,4.381154,47.49993,7,2
73,-1.0129349,0.26006165,0.2740313,15.758327,8.14681,121.97053,7,3
74,0.02296549,0.55140376,0.5582339,10.0009165,5.178666,59.201824,7,4
75,0.21312344,0.6186294,0.6368722,8.086957,4.3238697,47.67951,7,5
76,0.094340384,0.5684238,0.57539743,9.786421,5.017702,54.876976,7,6
77,-1.8020072,0.2245443,0.26888776,19.107798,10.405034,169.78308,7,7
78,0.362862,0.6917804,0.69239444,7.607321,3.8900118,38.606342,7,8
79,-0.17137933,0.4328929,0.4345797,11.857011,6.066722,70.97783,7,9
80,0.1817609,0.59257144,0.59712005,8.504148,4.4048796,49.57987,8,0
81,-0.43433654,0.39321122,0.41478533,12.612937,6.650447,86.91129,8,1
82,-0.1893059,0.51703185,0.5291042,11.195188,5.763492,72.064064,8,2
83,0.18189949,0.6317937,0.63619024,8.292292,4.238693,49.571476,8,3
84,0.07686615,0.5943338,0.5995246,9.6217375,4.856084,55.9358,8,4
85,0.33063602,0.6325588,0.6390084,7.7745833,3.999652,40.559025,8,5
86,0.3034314,0.62028354,0.6265694,8.352329,4.107679,42.207443,8,6
