,actual,predicted,repeat,fold
0,66.8,64.92358,0,0
1,63.145,57.68688,0,0
2,50.1,48.140343,0,0
3,50.363,51.727467,0,0
4,67.515,66.28423,0,0
5,67.32,65.241005,0,0
6,47.963,48.22345,0,0
7,68.5,64.92044,0,0
8,54.665,54.85105,0,0
9,47.991,50.083168,0,0
10,64.15,64.91561,0,0
11,49.157,50.35089,0,0
12,59.879,57.56677,0,0
13,61.596,57.219406,0,0
14,66.914,66.28964,0,0
15,49.157,59.303127,0,0
16,67.32,67.12313,0,0
17,68.51,61.059532,0,0
18,63.145,59.83917,0,0
19,61.596,56.56238,0,0
20,64.15,64.64953,0,0
21,55.698,56.260147,0,0
22,61.596,59.441006,0,0
23,61.596,49.034992,0,0
24,53.068,55.352104,0,0
25,68.5,66.77399,0,0
26,50.02,49.963993,0,0
27,66.914,65.57122,0,0
28,50.72,53.395145,0,0
29,51.967,59.89394,0,0
30,49.199,50.245747,0,0
31,67.515,65.75954,0,0
32,47.963,48.14194,0,0
33,52.035,58.192127,0,0
34,49.199,49.880405,0,0
35,50.363,51.5165,0,0
36,49.297,56.41612,0,0
37,66.54,66.278625,0,0
38,59.879,58.533302,0,0
39,64.15,64.22663,0,0
40,46.553,51.167618,0,0
41,50.02,50.156956,0,0
42,49.12,49.69546,0,0
43,61.596,59.507603,0,0
44,55.698,54.97357,0,0
45,47.991,49.188957,0,0
46,63.145,58.161568,0,0
47,66.718,67.419044,0,0
48,50.02,49.824223,0,0
49,53.068,55.05057,0,0
50,67.515,66.67433,0,0
51,67.32,62.777897,0,0
52,64.02,57.485794,0,0
53,47.991,48.437233,0,0
54,68.51,63.47252,0,0
55,66.18,66.641235,0,0
56,53.068,51.395805,0,0
57,46.553,49.829044,0,0
58,50.72,51.419624,0,0
59,66.718,67.12118,0,0
60,64.728,64.614334,0,0
61,56.844,55.93977,0,0
62,66.54,66.41513,0,0
63,50.72,49.878613,0,0
64,64.02,59.58942,0,0
65,47.991,49.787457,0,0
66,55.698,60.085682,0,0
67,66.8,66.146255,0,0
68,52.035,56.000908,0,0
69,66.914,66.12536,0,0
70,46.553,55.469566,0,0
71,61.596,58.041145,0,0
72,68.51,63.418274,0,0
73,54.665,47.81884,0,0
74,50.02,49.099422,0,0
75,55.698,55.511852,0,0
76,66.8,64.98113,0,0
77,59.879,61.360714,0,0
78,61.596,51.17117,0,0
79,49.12,47.233845,0,0
80,67.32,66.74288,0,0
81,68.5,69.2558,0,0
82,50.1,45.53391,0,0
83,51.967,59.414852,0,0
84,49.117,49.148266,0,0
85,54.665,56.685593,0,0
86,63.145,60.268948,0,0
87,49.117,48.30131,0,0
88,49.12,53.15366,0,0
89,52.035,54.74732,0,0
90,61.596,53.742798,0,0
91,68.51,64.49143,0,0
92,47.963,47.607235,0,0
93,68.51,60.064022,0,0
94,54.665,59.29049,0,0
95,68.5,67.18505,0,0
96,49.199,52.48814,0,0
97,66.718,64.3404,0,0
98,52.035,55.62543,0,0
99,61.596,58.565105,0,0
100,49.179,49.997578,0,0
101,50.1,57.08414,0,0
102,64.02,54.80476,0,0
103,54.665,56.456722,0,0
104,66.914,65.36596,0,0
105,47.963,47.851295,0,0
106,66.914,65.66935,0,0
107,50.363,50.40835,0,0
108,66.718,66.75404,0,0
109,54.665,54.70996,0,0
110,66.718,66.777794,0,0
111,51.967,62.016586,0,0
112,63.145,59.100582,0,0
113,51.967,54.319675,0,0
114,54.665,59.07294,0,0
115,66.18,58.450718,0,0
116,64.15,63.55203,0,0
117,47.963,48.65434,0,0
118,66.718,66.41543,0,0
119,50.72,49.721638,0,0
120,49.12,49.99287,0,0
121,49.199,52.424465,0,0
122,49.199,49.121098,0,0
123,64.02,62.753616,0,0
124,54.665,56.715755,0,0
125,50.1,51.966656,0,0
126,61.596,58.795044,0,0
127,54.665,54.092518,0,0
128,54.665,51.64622,0,0
129,66.8,65.31354,0,1
130,63.145,57.763153,0,1
131,50.1,48.537212,0,1
132,50.363,50.87222,0,1
133,67.515,66.925095,0,1
134,67.32,65.71321,0,1
135,47.963,47.506947,0,1
136,68.5,65.66344,0,1
137,54.665,54.56995,0,1
138,47.991,48.57162,0,1
139,64.15,66.0237,0,1
140,49.157,48.900513,0,1
141,59.879,57.554855,0,1
142,61.596,56.065018,0,1
143,66.914,64.48555,0,1
144,49.157,56.521175,0,1
145,67.32,66.08273,0,1
146,68.51,62.580345,0,1
147,63.145,60.659725,0,1
148,61.596,55.432266,0,1
149,64.15,65.92218,0,1
150,55.698,55.519115,0,1
151,61.596,59.859066,0,1
152,61.596,48.17997,0,1
153,53.068,55.499104,0,1
154,68.5,66.44527,0,1
155,50.02,49.183414,0,1
156,66.914,66.04848,0,1
157,50.72,54.513786,0,1
158,51.967,57.474815,0,1
159,49.199,50.154747,0,1
160,67.515,66.383835,0,1
161,47.963,47.104755,0,1
162,52.035,57.688206,0,1
163,49.199,48.676212,0,1
164,50.363,50.380787,0,1
165,49.297,56.52594,0,1
166,66.54,65.868996,0,1
167,59.879,57.129337,0,1
168,64.15,65.7418,0,1
169,46.553,50.603626,0,1
170,50.02,48.64083,0,1
171,49.12,49.50897,0,1
172,61.596,59.324112,0,1
173,55.698,55.742374,0,1
174,47.991,48.640446,0,1
175,63.145,57.176,0,1
176,66.718,66.450714,0,1
177,50.02,48.630383,0,1
178,53.068,54.338352,0,1
179,67.515,65.69441,0,1
180,67.32,63.466442,0,1
181,64.02,58.59718,0,1
182,47.991,49.078903,0,1
183,68.51,64.489624,0,1
184,66.18,65.7457,0,1
185,53.068,50.724434,0,1
186,46.553,48.81214,0,1
187,50.72,51.39751,0,1
188,66.718,66.63778,0,1
189,64.728,65.27205,0,1
190,56.844,56.002453,0,1
191,66.54,65.680435,0,1
192,50.72,49.072758,0,1
193,64.02,60.20436,0,1
194,47.991,48.77725,0,1
195,55.698,59.92802,0,1
196,66.8,65.74563,0,1
197,52.035,54.59773,0,1
198,66.914,66.77279,0,1
199,46.553,53.395348,0,1
200,61.596,57.365356,0,1
201,68.51,65.11215,0,1
202,54.665,48.126534,0,1
203,50.02,48.12161,0,1
204,55.698,54.78266,0,1
205,66.8,65.817276,0,1
206,59.879,59.35917,0,1
207,61.596,52.38306,0,1
208,49.12,49.41781,0,1
209,67.32,66.02517,0,1
210,68.5,67.64859,0,1
211,50.1,47.877625,0,1
212,51.967,57.065144,0,1
213,49.117,50.719803,0,1
214,54.665,56.13938,0,1
215,63.145,61.04627,0,1
216,49.117,49.096382,0,1
217,49.12,53.437176,0,1
218,52.035,53.69977,0,1
219,61.596,54.48057,0,1
220,68.51,65.362465,0,1
221,47.963,46.71011,0,1
222,68.51,60.982067,0,1
223,54.665,58.188507,0,1
224,68.5,67.33807,0,1
225,49.199,51.9734,0,1
226,66.718,66.07149,0,1
227,52.035,56.275303,0,1
228,61.596,56.696568,0,1
229,49.179,53.211895,0,1
230,50.1,55.821125,0,1
231,64.02,49.816288,0,1
232,54.665,54.770985,0,1
233,66.914,65.523926,0,1
234,47.963,47.49717,0,1
235,66.914,66.122665,0,1
236,50.363,50.364075,0,1
237,66.718,65.74597,0,1
238,54.665,54.045723,0,1
239,66.718,65.74324,0,1
240,51.967,59.511898,0,1
241,63.145,57.962093,0,1
242,51.967,52.05993,0,1
243,54.665,59.42302,0,1
244,66.18,64.42587,0,1
245,64.15,63.721252,0,1
246,47.963,47.69508,0,1
247,66.718,65.79421,0,1
248,50.72,49.10245,0,1
249,49.12,50.075993,0,1
250,49.199,52.924416,0,1
251,49.199,46.87126,0,1
252,64.02,62.508415,0,1
253,54.665,55.85319,0,1
254,50.1,50.099277,0,1
255,61.596,57.91116,0,1
256,54.665,54.652504,0,1
257,54.665,51.27834,0,1
258,66.8,64.854324,0,2
