,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.33362806,0.5075864,0.6571193,5.955913,2.782818,26.080463,0,0
1,0.19754899,0.35280308,0.4466814,7.03926,3.4257953,31.406324,0,1
2,0.075844765,0.29489067,0.34837005,7.3118153,3.5824716,36.169582,0,2
3,0.5233538,0.7530622,0.79414374,5.1378155,2.6286948,18.654976,0,3
4,0.47159857,0.63271505,0.72923,5.5854654,2.8174143,20.680573,0,4
5,0.21989673,0.36650702,0.46917906,6.92597,3.373012,30.531677,0,5
6,0.21504372,0.36392665,0.464268,7.0651755,3.4503412,30.721615,0,6
7,0.07732093,0.31930697,0.36853787,7.462544,3.698976,36.11181,0,7
8,0.13946152,0.3397993,0.40775988,7.4279556,3.6741369,33.67975,0,8
9,0.100286484,0.3359257,0.38203958,7.421186,3.635896,35.212982,0,9
