FOLD 1 
,actual,predicted,repeat,fold
0,64.15,62.085857,0,0
1,64.15,66.09597,0,0
2,64.15,66.49627,0,0
3,64.15,63.476578,0,0
4,64.15,67.068146,0,0
5,64.15,66.8638,0,0
6,64.15,66.68501,0,0
7,64.15,66.705185,0,0
8,64.15,66.625,0,0
9,64.15,66.73394,0,0
10,64.15,67.09072,0,0
11,64.15,66.87119,0,0
12,64.15,66.69415,0,0
13,64.15,67.35736,0,0
14,64.15,67.61858,0,0
15,64.15,67.05948,0,0
16,64.15,66.72919,0,0
17,64.15,66.41533,0,0
18,64.15,67.36036,0,0
19,64.15,63.51351,0,0
20,64.15,67.22373,0,0
21,64.15,66.86012,0,0
22,64.15,67.36606,0,0
23,54.516,52.342983,0,0
24,54.516,55.02129,0,0
25,54.516,54.740234,0,0
26,54.516,55.38584,0,0
27,54.516,53.129513,0,0
28,49.297,67.27208,0,0
29,49.297,66.4489,0,0
30,49.297,65.87691,0,0
31,66.54,67.29921,0,0
32,66.54,64.03377,0,0
33,66.54,67.71237,0,0
34,66.54,67.48643,0,0
35,66.54,67.06128,0,0
36,66.54,67.39237,0,0
37,66.54,67.882996,0,0
38,66.54,67.39024,0,0
39,66.54,67.16087,0,0
40,66.54,66.65869,0,0
41,66.54,64.67244,0,0
42,66.54,63.80025,0,0
43,66.54,67.958496,0,0
44,66.54,65.20445,0,0
45,66.54,67.37458,0,0
46,66.54,66.93164,0,0
47,66.54,65.152664,0,0
48,66.54,67.25676,0,0
49,66.54,67.784515,0,0
50,66.54,66.945984,0,0
51,66.54,64.74106,0,0
52,68.51,66.70091,0,0
53,68.51,66.85675,0,0
54,68.51,66.40225,0,0
55,68.51,66.048775,0,0
56,68.51,67.252075,0,0
57,68.51,67.469475,0,0
58,68.51,66.01844,0,0
59,68.51,66.557846,0,0
60,68.51,66.686615,0,0
61,68.51,66.69435,0,0
62,68.51,66.06064,0,0
63,68.51,66.367935,0,0
64,68.51,66.89222,0,0
65,68.51,67.9241,0,0
66,68.51,66.54552,0,0
67,68.51,66.60557,0,0
68,68.51,66.49925,0,0
69,68.51,67.39008,0,0
70,68.51,65.95864,0,0
71,68.51,66.29328,0,0
72,68.51,67.5668,0,0
73,68.51,65.9607,0,0
74,68.51,68.75687,0,0
75,68.51,66.42268,0,0
76,68.51,66.60811,0,0
77,68.51,69.767975,0,0
78,68.51,67.38867,0,0
79,68.51,66.94318,0,0
80,68.51,66.32548,0,0
81,68.51,65.16429,0,0
82,68.51,67.11849,0,0
83,68.51,65.56613,0,0
84,68.51,66.28879,0,0
85,68.51,66.528915,0,0
86,68.51,66.75621,0,0
87,51.967,64.017456,0,0
88,51.967,57.860634,0,0
89,51.967,63.230564,0,0
90,51.967,61.570774,0,0
91,51.967,60.430283,0,0
92,51.967,61.17617,0,0
93,51.967,64.808044,0,0
94,51.967,61.715103,0,0
95,51.967,60.502174,0,0
96,51.967,62.254185,0,0
97,51.967,61.788692,0,0
98,51.967,63.202477,0,0
99,51.967,61.919727,0,0
100,51.967,61.50365,0,0

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.33362806,0.5075864,0.6571193,5.955913,2.782818,26.080463,0,0

FOLD 2 
,actual,predicted,repeat,fold
0,64.15,64.61273,0,1
1,64.15,65.61184,0,1
2,64.15,65.742615,0,1
3,64.15,63.3233,0,1
4,64.15,61.131897,0,1
5,64.15,64.259125,0,1
6,64.15,62.05199,0,1
7,64.15,63.678135,0,1
8,64.15,62.754196,0,1
9,64.15,65.32864,0,1
10,64.15,66.05751,0,1
11,64.15,66.0566,0,1
12,64.15,63.253212,0,1
13,64.15,67.24022,0,1
14,64.15,67.77023,0,1
15,64.15,66.92162,0,1
16,64.15,63.704735,0,1
17,64.15,64.9172,0,1
18,64.15,67.91094,0,1
19,64.15,63.242577,0,1
20,64.15,65.600136,0,1
21,64.15,64.02292,0,1
22,64.15,67.851906,0,1
23,54.516,53.756165,0,1
24,54.516,55.696026,0,1
25,54.516,54.403316,0,1
26,54.516,54.91372,0,1
27,54.516,54.4755,0,1
28,49.297,61.533638,0,1
29,49.297,58.870464,0,1
30,49.297,60.45858,0,1
31,66.54,66.41801,0,1
32,66.54,63.67793,0,1
33,66.54,67.8571,0,1
34,66.54,66.408615,0,1
35,66.54,66.04323,0,1
36,66.54,66.42015,0,1
37,66.54,66.367004,0,1
38,66.54,66.419785,0,1
39,66.54,65.937485,0,1
40,66.54,65.76575,0,1
41,66.54,64.33826,0,1
42,66.54,64.05336,0,1
43,66.54,66.123276,0,1
44,66.54,65.6176,0,1
45,66.54,66.27699,0,1
46,66.54,65.82364,0,1
