,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
0,-2.7922930171317337,-1.158813587227133,0.290495590916668,445.4416056,544.74515505,1.0,1.0,1.0,49.199,train,143445.0,50.0
1,-2.9204811796907277,-2.0588831370249907,-0.47387355671093817,499.89290090000003,591.9715688,1.0,1.0,1.0,49.199,train,143445.0,50.0
2,-3.025135816432689,-2.1731551325034877,0.4714005110042298,192.44891165,143.73313505,1.0,1.0,1.0,49.199,train,143445.0,50.0
3,-3.2323745812522517,-1.1408484610036072,-0.10981791532949262,371.32606635,422.51822815,1.0,1.0,1.0,49.199,train,143445.0,50.0
4,-2.3300028364655847,-0.09749272710624071,-0.43243372994546975,509.14055805,684.85260275,1.0,1.0,1.0,49.199,train,143445.0,50.0
5,-3.0316491112943216,-1.73557454940819,-0.009633916035603082,399.39442995,464.98065005,1.0,1.0,1.0,49.199,train,143445.0,50.0
6,-2.4205418402248826,-0.19815486075363384,-0.04707762702900358,453.77263934999996,543.27658135,1.0,1.0,1.0,49.199,train,143445.0,50.0
7,-1.4286744956912605,-0.9682159165276293,-0.2979946898804845,390.2532976,516.45651336,1.0,1.0,1.0,49.199,train,143445.0,50.0
8,-1.5992821299717959,-2.0092350625492243,-0.3856632337090909,373.51947459999997,303.05611711,1.0,1.0,1.0,49.199,train,143445.0,50.0
9,-3.0295392660080385,-1.70554693332438,0.31920247845900324,294.6807096,350.9822523,1.0,1.0,1.0,49.199,train,143445.0,50.0
10,-2.266757039003601,-1.5046388375452786,0.6645365952573841,353.98386259999995,357.25101525,1.0,1.0,1.0,49.199,train,143445.0,50.0
11,-3.2047790932323013,-1.0089919270110927,0.7961611327406974,352.27257265000003,367.23023455,1.0,1.0,1.0,49.199,train,143445.0,50.0
12,-1.9251448648775873,0.7798049605740867,0.1831947008936174,707.9407334499999,886.3550364,1.0,1.0,1.0,49.199,train,143445.0,50.0
13,-2.738085462990801,-0.4152792660693095,0.22542984442378666,313.73972715,300.088565,1.0,1.0,1.0,49.199,train,143445.0,50.0
14,-2.6313209809625566,-0.27097965450700295,-0.39100782879677465,516.46999605,634.3286009999999,1.0,1.0,1.0,49.199,train,143445.0,50.0
15,-1.9142071508488607,-0.7873387268234434,-0.055354122928642856,405.19245715,549.21019025,1.0,1.0,1.0,49.199,train,143445.0,50.0
16,-2.478426488316835,-2.9150981154491244,-0.6064237008117817,279.9179015,260.81299581,1.0,1.0,1.0,49.199,train,143445.0,50.0
17,-1.1491259467698298,0.2540135391482931,-0.19281864640842733,658.7940427,757.53483145,1.0,1.0,1.0,49.199,train,143445.0,50.0
18,-2.1579876641785423,-0.23453658470226804,0.36409962098117976,454.9480395,485.3430164,1.0,1.0,1.0,49.199,train,143445.0,50.0
19,-2.1600975094648254,-0.26456420078607873,0.03526322648657301,559.66175985,599.34141415,1.0,1.0,1.0,49.199,train,143445.0,50.0
20,-2.0546184602646815,-0.6820594591982903,0.9179208274135665,782.5,1473.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
21,-3.5822529040716944,-0.758498202704157,-0.38438744033211875,860.0,2055.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
22,-0.9009912153254033,2.6018632074580808,0.8857252839633862,798.5,1323.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
23,-2.882684790843389,-0.6984750316411173,-0.19756639209798127,973.0,2203.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
24,-2.67347285934753,-1.2927889910669004,0.520971513421013,381.0,384.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
25,-2.7417646299372516,1.3563784113505541,0.48913185351141636,927.5,1657.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
26,-0.9138724158483824,0.20052498144413725,0.5890142347780544,911.0,1496.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
27,-2.2825262397493877,1.446631579417025,0.44598596718197997,1044.5,1884.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
