,actual,predicted
0,66.718,57.430748
1,66.718,66.435455
2,66.718,55.77213
3,66.718,60.948185
4,66.718,42.982197
5,66.718,63.254726
6,66.718,64.36205
7,66.718,61.57286
8,66.718,69.30514
9,66.718,58.40088
10,66.718,55.118717
11,66.718,56.371395
12,66.718,57.015205
13,66.718,61.05804
14,66.718,56.629364
15,66.718,60.963837
16,66.718,80.769226
17,59.879,83.537155
18,59.879,39.53063
19,59.879,198.74344
20,59.879,93.0037
21,59.879,66.701004
22,59.879,165.54585
23,59.879,186.11337
24,59.879,51.26213
25,59.879,186.37192
26,59.879,133.55734
27,59.879,108.38469
28,59.879,116.24003
29,59.879,163.16124
30,62.028,39.911724
31,62.028,38.16689
32,62.028,38.26931
33,62.028,40.848392
34,62.028,54.063385
35,62.028,28.510237
36,62.028,36.83122
37,62.028,69.1112
38,62.028,48.21723
39,62.028,38.301544
40,50.363,41.959595
41,50.363,63.381374
42,50.363,36.009293
43,50.363,44.433758
44,50.363,51.83868
45,50.363,55.500526
46,50.363,51.82401
47,50.363,42.493793
48,50.363,42.006428
49,50.363,44.183567
50,50.363,46.069088
51,49.965,45.0862
52,49.965,49.4997
53,49.965,46.39315
54,49.965,18.459013
55,49.965,32.00187
56,49.965,36.459316
57,49.965,38.11363
58,49.965,29.92097
59,49.965,26.289135
60,49.965,10.917872
61,68.51,71.71279
62,68.51,47.181244
63,68.51,43.540615
64,68.51,46.77218
65,68.51,42.617947
66,68.51,47.896156
67,68.51,48.106216
68,68.51,56.11755
69,68.51,49.973385
70,68.51,50.649265
71,68.51,58.73733
72,68.51,43.294056
73,68.51,44.92049
74,68.51,38.4942
75,68.51,51.0298
76,68.51,51.390755
77,68.51,42.26522
78,68.51,36.877632
79,68.51,55.770607
80,68.51,50.39117
81,68.51,34.11636
82,68.51,46.840706
83,68.51,44.881607
84,68.51,36.985947
85,68.51,42.498028
86,68.51,95.02863
87,68.51,71.32867
88,68.51,55.369194
89,68.51,54.873596
90,68.51,61.079365
91,68.51,41.36614
92,68.51,46.213654
93,68.51,49.85194
94,68.51,53.45798
95,68.51,64.383064
96,50.565,68.73091
97,50.565,63.68267
98,50.565,63.84249
99,50.565,68.62233
100,50.565,64.87281
101,50.565,39.84543
102,50.565,60.48299
103,50.565,54.654446
104,50.565,64.296745
105,50.565,63.66854
106,50.565,73.55575
107,50.565,66.90826
108,50.565,63.74283
109,50.565,63.372078
110,47.991,45.108723
111,47.991,63.353947
112,47.991,63.265835
113,47.991,78.16211
114,47.991,67.385414
115,47.991,40.727654
116,47.991,62.550777
117,47.991,63.453556
118,47.991,64.40488
119,47.991,81.519936
120,47.991,63.223515
121,47.991,55.63287
122,47.991,66.210144
123,47.991,43.224777
124,47.991,81.890465
125,47.991,69.56578
126,47.991,71.08009
0,66.718,65.07207
1,66.718,68.447685
2,66.718,62.811253
3,66.718,61.47808
4,66.718,53.895836
5,66.718,67.409546
6,66.718,62.66659
7,66.718,64.802635
8,66.718,63.52331
9,66.718,65.31835
10,66.718,62.915535
11,66.718,63.12327
12,66.718,64.22431
13,66.718,65.30756
14,66.718,63.287037
15,66.718,61.402714
16,66.718,65.871155
17,59.879,63.74883
18,59.879,46.32034
19,59.879,173.07143
20,59.879,93.13126
21,59.879,67.64924
22,59.879,100.55582
23,59.879,158.73158
24,59.879,55.607475
25,59.879,218.78609
26,59.879,134.7414
27,59.879,65.648605
28,59.879,116.0808
29,59.879,97.162834
30,62.028,45.70186
31,62.028,47.67503
32,62.028,47.43284
33,62.028,36.506985
34,62.028,43.90173
35,62.028,41.211754
36,62.028,45.91002
37,62.028,59.538857
38,62.028,59.299267
39,62.028,46.676094
40,50.363,40.055176
41,50.363,54.8794
42,50.363,39.413017
43,50.363,41.436832
44,50.363,46.77707
45,50.363,48.25629
46,50.363,53.305027
47,50.363,45.82198
48,50.363,46.85644
49,50.363,46.416412
50,50.363,43.210346
51,49.965,54.580387
52,49.965,57.346012
53,49.965,54.274128
54,49.965,32.15619
55,49.965,52.366337
56,49.965,56.91701
57,49.965,45.927334
58,49.965,49.19697
59,49.965,43.133064
60,49.965,42.05118
61,68.51,64.33068
62,68.51,56.640278
63,68.51,52.553936
64,68.51,47.711884
65,68.51,53.690666
66,68.51,58.664158
67,68.51,54.234657
68,68.51,63.541847
69,68.51,55.976665
70,68.51,60.191063
71,68.51,60.820625
72,68.51,47.895355
73,68.51,54.33888
74,68.51,49.607433
75,68.51,59.85709
76,68.51,58.68572
77,68.51,48.08844
78,68.51,50.669094
79,68.51,56.657696
80,68.51,58.712368
81,68.51,48.530865
82,68.51,51.81235
83,68.51,49.22069
84,68.51,53.50009
85,68.51,46.521072
86,68.51,63.80746
87,68.51,50.27489
88,68.51,62.71787
89,68.51,59.459652
90,68.51,51.897472
91,68.51,49.224983
92,68.51,52.331413
93,68.51,58.316578
94,68.51,56.33457
95,68.51,57.606575
96,50.565,68.92754
97,50.565,64.26972
98,50.565,63.585365
99,50.565,67.687996
100,50.565,63.593052
101,50.565,41.47159
102,50.565,63.051098
103,50.565,57.941357
104,50.565,64.16222
105,50.565,61.5323
106,50.565,69.93177
107,50.565,61.842415
108,50.565,64.67864
109,50.565,65.68157
110,47.991,56.15437
111,47.991,52.89561
112,47.991,54.398685
113,47.991,66.539856
114,47.991,60.506626
115,47.991,56.95361
116,47.991,56.332924
117,47.991,58.45213
118,47.991,57.62945
119,47.991,66.605705
120,47.991,59.288265
121,47.991,56.200397
122,47.991,60.72621
123,47.991,55.25262
124,47.991,65.94973
125,47.991,53.772545
126,47.991,55.616615
0,66.718,60.271935
1,66.718,67.16909
2,66.718,58.66333
3,66.718,59.97775
4,66.718,46.205738
5,66.718,64.64459
6,66.718,61.083836
7,66.718,61.944695
8,66.718,62.20346
9,66.718,61.39709
10,66.718,58.070896
11,66.718,59.544437
12,66.718,62.129982
13,66.718,62.94564
14,66.718,60.917824
15,66.718,55.275196
16,66.718,71.77964
17,59.879,75.41534
18,59.879,46.878212
19,59.879,198.3437
20,59.879,100.282776
21,59.879,71.33834
22,59.879,166.23576
23,59.879,185.89964
24,59.879,60.661892
25,59.879,221.92522
26,59.879,149.5168
27,59.879,87.02947
28,59.879,129.45323
29,59.879,148.66602
30,62.028,40.193245
31,62.028,43.674793
32,62.028,40.80568
33,62.028,39.402588
34,62.028,49.49982
35,62.028,37.42716
36,62.028,39.458828
37,62.028,57.8255
38,62.028,47.731148
39,62.028,41.559517
40,50.363,43.354794
41,50.363,62.04815
42,50.363,40.563408
43,50.363,42.988895
44,50.363,46.992397
45,50.363,52.98236
46,50.363,56.907005
47,50.363,45.97928
48,50.363,49.347946
49,50.363,44.852604
50,50.363,43.88067
51,49.965,46.9985
52,49.965,56.01525
53,49.965,47.600834
54,49.965,29.623451
55,49.965,42.4765
56,49.965,47.203995
57,49.965,46.949013
58,49.965,43.94159
59,49.965,37.233093
60,49.965,25.962019
61,68.51,64.925804
62,68.51,53.802074
63,68.51,45.175747
64,68.51,41.756058
65,68.51,41.919636
66,68.51,53.505623
67,68.51,52.61979
68,68.51,60.51835
69,68.51,49.64132
70,68.51,53.776386
71,68.51,60.453644
72,68.51,47.917896
73,68.51,49.712772
74,68.51,46.19539
75,68.51,56.738808
76,68.51,56.734215
77,68.51,44.676044
78,68.51,44.49831
79,68.51,54.849075
80,68.51,56.08959
81,68.51,43.170147
82,68.51,49.416
83,68.51,45.270897
84,68.51,50.969643
85,68.51,42.454643
86,68.51,60.252914
87,68.51,54.676876
88,68.51,59.55768
89,68.51,50.427216
90,68.51,47.307835
91,68.51,46.972027
92,68.51,50.909245
93,68.51,55.709587
94,68.51,53.61169
95,68.51,59.44506
96,50.565,72.45413
97,50.565,70.45343
98,50.565,68.88405
99,50.565,70.719215
100,50.565,70.34606
101,50.565,47.041718
102,50.565,67.25516
103,50.565,61.995995
104,50.565,69.25993
105,50.565,67.770996
106,50.565,75.34257
107,50.565,71.124664
108,50.565,72.61304
109,50.565,65.653046
110,47.991,51.710617
111,47.991,59.05651
112,47.991,57.888023
113,47.991,74.571304
114,47.991,65.40508
115,47.991,49.2888
116,47.991,62.32393
117,47.991,61.911854
118,47.991,61.159492
119,47.991,71.71625
120,47.991,63.33184
121,47.991,56.439735
122,47.991,67.85736
123,47.991,53.88662
124,47.991,70.89588
125,47.991,55.014576
126,47.991,57.154278
0,66.718,51.165474
1,66.718,58.379044
2,66.718,47.79542
3,66.718,51.574795
4,66.718,39.54053
5,66.718,50.275932
6,66.718,60.208267
7,66.718,53.266083
8,66.718,59.833054
9,66.718,50.682796
10,66.718,48.53942
11,66.718,49.742016
12,66.718,44.784145
13,66.718,51.22686
14,66.718,47.76675
15,66.718,56.634163
16,66.718,64.739204
17,59.879,91.61833
18,59.879,86.90148
19,59.879,443.4044
20,59.879,206.37273
21,59.879,140.8456
22,59.879,349.8047
23,59.879,415.43546
24,59.879,122.46253
25,59.879,575.31055
26,59.879,346.50317
27,59.879,170.67982
28,59.879,277.1388
29,59.879,321.3333
30,62.028,54.406296
31,62.028,48.846806
32,62.028,53.11529
33,62.028,53.16972
34,62.028,55.59905
35,62.028,40.443752
36,62.028,47.951847
37,62.028,57.4161
38,62.028,45.309856
39,62.028,49.897114
40,50.363,70.14426
41,50.363,78.911095
42,50.363,57.38776
43,50.363,63.469383
44,50.363,66.609566
45,50.363,66.46786
46,50.363,57.551617
47,50.363,67.83576
48,50.363,91.13434
49,50.363,61.201305
50,50.363,60.346233
51,49.965,44.059982
52,49.965,35.903202
53,49.965,39.977966
54,49.965,21.66312
55,49.965,29.616453
56,49.965,24.982141
57,49.965,38.256283
58,49.965,19.21241
59,49.965,26.249449
60,49.965,13.463315
61,68.51,61.51678
62,68.51,36.29871
63,68.51,43.216553
64,68.51,61.967617
65,68.51,44.555347
66,68.51,41.466835
67,68.51,45.949913
68,68.51,38.93588
69,68.51,46.650265
70,68.51,44.330433
71,68.51,49.43828
72,68.51,41.514763
73,68.51,40.530552
74,68.51,34.926067
75,68.51,36.187763
76,68.51,44.18674
77,68.51,43.751137
78,68.51,29.607037
79,68.51,51.61728
80,68.51,35.42423
81,68.51,25.523811
82,68.51,48.613373
83,68.51,55.780743
84,68.51,27.004513
85,68.51,43.661854
86,68.51,141.864
87,68.51,86.195206
88,68.51,45.1217
89,68.51,54.343742
90,68.51,80.376465
91,68.51,42.134792
92,68.51,40.84716
93,68.51,38.78268
94,68.51,53.598534
95,68.51,63.241215
96,50.565,54.444687
97,50.565,46.100044
98,50.565,48.423016
99,50.565,50.85097
100,50.565,49.053246
101,50.565,23.943052
102,50.565,46.46876
103,50.565,39.25576
104,50.565,49.55897
105,50.565,52.92762
106,50.565,58.498985
107,50.565,58.473984
108,50.565,53.845882
109,50.565,45.153366
110,47.991,40.24777
111,47.991,63.174793
112,47.991,59.386574
113,47.991,61.739204
114,47.991,57.376842
115,47.991,34.010544
116,47.991,47.07299
117,47.991,52.984516
118,47.991,58.994373
119,47.991,65.21809
120,47.991,46.39672
121,47.991,37.083992
122,47.991,51.04278
123,47.991,42.874397
124,47.991,71.30332
125,47.991,68.799805
126,47.991,67.510445
0,66.718,58.569794
1,66.718,64.241455
2,66.718,56.23966
3,66.718,54.8721
4,66.718,37.75539
5,66.718,62.551434
6,66.718,58.081867
7,66.718,59.598522
8,66.718,60.475296
9,66.718,59.707832
10,66.718,55.711876
11,66.718,56.60108
12,66.718,56.653866
13,66.718,60.194798
14,66.718,57.82706
15,66.718,57.29593
16,66.718,67.90195
17,59.879,75.53022
18,59.879,35.06726
19,59.879,192.87357
20,59.879,89.15806
21,59.879,63.871006
22,59.879,175.27713
23,59.879,182.73456
24,59.879,46.31607
25,59.879,156.85268
26,59.879,115.98619
27,59.879,79.57645
28,59.879,103.7077
29,59.879,152.9195
30,62.028,37.182064
31,62.028,39.14568
32,62.028,39.48261
33,62.028,31.456467
34,62.028,48.571587
35,62.028,23.665392
36,62.028,32.11041
37,62.028,54.84669
38,62.028,45.721474
39,62.028,37.17038
40,50.363,39.67866
41,50.363,64.3311
42,50.363,33.117485
43,50.363,37.200813
44,50.363,43.728813
45,50.363,48.499916
46,50.363,47.93309
47,50.363,38.172768
48,50.363,38.88505
49,50.363,36.775135
50,50.363,35.76689
51,49.965,45.304646
52,49.965,47.324192
53,49.965,44.99792
54,49.965,17.811888
55,49.965,27.684847
56,49.965,38.09576
57,49.965,29.087349
58,49.965,24.446888
59,49.965,25.41392
60,49.965,8.318803
61,68.51,63.774033
62,68.51,42.21029
63,68.51,37.830757
64,68.51,35.37896
65,68.51,38.027687
66,68.51,43.690563
67,68.51,43.709126
68,68.51,53.91577
69,68.51,46.665943
70,68.51,51.872887
71,68.51,54.61999
72,68.51,38.799435
73,68.51,39.79007
74,68.51,34.865337
75,68.51,48.635567
76,68.51,48.38245
77,68.51,39.27311
78,68.51,28.288076
79,68.51,49.95499
80,68.51,48.135674
81,68.51,27.847383
82,68.51,43.72616
83,68.51,41.297005
84,68.51,37.19767
85,68.51,37.194763
86,68.51,60.12781
87,68.51,57.959435
88,68.51,54.224533
89,68.51,51.679558
90,68.51,47.978474
91,68.51,38.320213
92,68.51,41.574944
93,68.51,46.823322
94,68.51,48.203228
