,actual,predicted
0,64.15,62.37629
1,66.54,61.20391
2,64.15,61.11038
3,64.15,60.70994
4,54.665,60.479828
5,47.963,43.918808
6,53.068,58.961845
7,54.665,61.961514
8,66.18,60.042755
9,56.844,56.158752
10,65.66,64.50439
11,63.145,41.902367
12,64.02,72.1784
13,54.665,58.877502
14,49.12,65.558334
15,49.117,55.170902
16,67.32,62.12527
17,49.199,60.275608
18,66.914,68.89603
19,52.035,54.42799
20,68.51,52.303078
21,49.179,35.58008
22,61.596,56.002926
23,50.363,55.055817
24,50.02,64.77202
25,50.1,40.454468
26,68.5,55.530464
27,61.596,58.535236
28,56.844,56.052124
29,50.1,27.334066
30,63.145,48.82951
31,50.1,35.026085
32,64.15,60.553772
33,67.515,57.395947
34,50.72,57.968693
35,63.145,47.76284
36,61.596,58.661556
37,52.035,49.53936
38,55.698,59.404457
39,50.1,33.597282
40,49.199,57.041344
41,66.718,63.262035
42,52.035,59.33073
43,52.035,51.265553
44,51.967,36.626827
45,53.068,49.730793
46,65.66,65.7323
47,65.66,66.236404
48,67.32,64.659874
49,66.54,58.266586
50,46.553,37.713272
51,67.32,62.093117
52,52.035,61.920124
53,66.718,62.726982
54,66.54,53.387783
55,64.728,58.15658
56,49.157,50.556023
57,64.15,57.65015
58,66.18,58.001476
59,66.914,65.42173
60,49.157,49.03755
61,68.51,61.88712
62,66.718,60.884335
63,64.15,68.156105
64,68.51,64.728745
65,66.54,59.61595
66,61.596,60.725185
67,51.967,39.236504
68,50.565,63.64981
69,68.5,61.934017
70,61.596,64.1646
71,68.5,53.940304
72,50.72,59.23749
73,50.02,66.2972
74,64.02,52.232998
75,47.991,60.914715
76,49.199,54.75274
77,63.145,42.51264
78,59.879,55.728718
79,50.565,64.095116
80,50.72,58.791603
81,49.157,52.036583
82,49.297,58.23324
83,49.12,65.370476
84,46.553,53.079006
85,47.991,60.145645
86,53.068,50.534374
87,50.565,65.46085
88,52.035,56.50256
89,67.32,57.27527
90,68.51,57.44922
91,47.991,56.472633
92,54.665,62.086952
93,54.665,58.568787
94,67.32,62.10632
95,64.15,62.577793
96,47.991,65.49764
97,56.844,55.568924
98,66.18,61.980312
99,62.028,52.031494
100,54.665,59.952034
101,66.718,63.76965
102,51.967,37.12334
103,51.967,30.204224
104,49.117,57.03692
105,46.553,48.64297
106,47.991,63.726448
107,66.914,61.599926
108,68.51,59.830227
109,50.363,29.65238
110,59.879,89.423225
111,49.199,54.731503
112,61.596,65.69995
113,64.15,59.06971
114,62.028,54.664474
115,63.145,44.996235
116,47.963,46.17667
117,49.965,56.10447
118,49.12,55.206978
119,67.32,57.564835
120,67.32,63.23804
121,51.967,39.435154
122,49.199,65.31127
123,59.879,57.83852
124,67.32,63.005985
125,55.698,55.609097
126,50.72,64.22056
127,50.72,48.7673
128,49.965,45.59199
0,64.15,64.091965
1,66.54,61.272064
2,64.15,63.03562
3,64.15,62.351963
4,54.665,58.177917
5,47.963,46.7441
6,53.068,56.681053
7,54.665,56.365368
8,66.18,59.271465
9,56.844,53.363934
10,65.66,63.049065
11,63.145,43.66077
12,64.02,62.803974
13,54.665,57.904884
14,49.12,61.906734
15,49.117,56.156124
16,67.32,60.86006
17,49.199,55.295753
18,66.914,62.883175
19,52.035,52.782185
20,68.51,54.506836
21,49.179,41.25392
22,61.596,57.35014
23,50.363,50.47633
24,50.02,67.29432
25,50.1,42.25721
26,68.5,57.804237
27,61.596,58.51894
28,56.844,50.33367
29,50.1,21.797169
30,63.145,48.734066
31,50.1,29.463299
32,64.15,63.970848
33,67.515,52.33072
34,50.72,55.229122
35,63.145,47.847878
36,61.596,59.570023
37,52.035,54.228645
38,55.698,55.36499
39,50.1,27.256615
40,49.199,52.313656
41,66.718,65.43798
42,52.035,59.13958
43,52.035,54.0216
44,51.967,37.402325
45,53.068,56.028793
46,65.66,63.57225
47,65.66,66.32684
48,67.32,65.828735
49,66.54,62.05147
